ID,X_original,Y_original,Elevation,Z_not_corrected_elevation,Z,azimuth,dip,polarity,formation,series,id,Dataset,X,Y
TG-71,568930,6676420,14,-376,-362,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,568930,6676420
TG-77,568574,6686819,13.72,-268,-254.28,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,568574,6686819
TG-93,575394,6703501,7.67,-17,-9.33,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,575394,6703501
TG-94,573190,6690240,4.83,-89.8,-84.97,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,573190,6690240
TG-95,579026,6702063,1.65,-149.25,-147.6,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,579026,6702063
TG-97,584070,6696915,4.58,-271,-266.42,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,584070,6696915
TG-98,581081,6691809,4.98,-288,-283.02,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,581081,6691809
TG-99,579937,6687461,4.86,-366,-361.14,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,579937,6687461
TG-100,577810,6694780,7.34,-209,-201.66,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,577810,6694780
TG-117,556269,6680956,17.1,-380,-362.9,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,556269,6680956
TG-120,574942,6675714,1.84,-445,-443.16,90,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,574942,6675714
TG-121,557960,6678047,21.45,-325,-303.55,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,557960,6678047
TG-123,556007,6676075,14.86,-364,-349.14,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,556007,6676075
TG-126,570683,6690402,13.93,-340,-326.07,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,570683,6690402
TG-176,564250,6673500,17.16,-436,-418.84,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,564250,6673500
TG-177,570870,6681206,16.6,-371.65,-355.05,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,570870,6681206
TG-178,582571,6703675,2.59,-17.53,-14.94,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,582571,6703675
TG-179,573190,6701079,12.18,-145,-132.82,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,573190,6701079
TG-214,554548,6678397,10.32,-270,-259.68,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,554548,6678397
TG-221,559916,6681040,17.07,-300,-282.93,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,559916,6681040
TG-223,564431,6678282,19.72,-387,-367.28,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,564431,6678282
TG-225,572457,6677995,16,-440,-424,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,572457,6677995
TG-226,568046,6673967,15.48,-455,-439.52,90,1,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,568046,6673967
TG-227,575023,6693419,19.4,-169,-149.6,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,CEP,575023,6693419
4300002347,570520,6693200,12,-28,-16,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,570520,6693200
4300002978,590458,6727066,4,-13,-9,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590458,6727066
4300002979,590320,6726786,4,-20,-16,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590320,6726786
4300002980,590204,6726311,15,-13.8,1.2,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590204,6726311
4300002981,590596,6727941,4,-17,-13,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590596,6727941
4300002982,590616,6727931,4,-16,-12,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590616,6727931
4300002983,589879,6726841,15,13,28,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,589879,6726841
4300008108,616751,6752635,15,-21,-6,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,616751,6752635
4300008110,612891,6760517,13,-3,10,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,612891,6760517
4300008111,607191,6760718,15,15,30,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,607191,6760718
4300008115,611219,6763973,12,2,14,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,611219,6763973
4300008247,603469,6767364,12,9,21,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,603469,6767364
4300008253,606899,6763624,25,17,42,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,606899,6763624
4300008305,609831,6753855,8,-11,-3,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,609831,6753855
4300008310,611429,6747047,16,12,28,170,1,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,611429,6747047
4300008573,589279,6726796,31,18.5,49.5,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,589279,6726796
4300008576,590614,6727928,4,-27,-23,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590614,6727928
4300008578,590324,6726787,4,-22,-18,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,590324,6726787
4300008581,586672,6720790,9,6,15,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,586672,6720790
4300008691,572771,6698951,20,5,25,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,572771,6698951
4300008694,576804,6709150,19,-9,10,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,576804,6709150
4300008725,578615,6714008,2,-19,-17,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,578615,6714008
4300008726,578571,6713755,2,-3,-1,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,578571,6713755
4300008727,578349,6713226,3,-17,-14,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,578349,6713226
4300008728,577802,6715217,3,-21,-18,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,577802,6715217
4300010177,619019,6756349,8,-1,7,125,1,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,619019,6756349
4300017268,614930,6750142,12,12,24,170,1,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,614930,6750142
4300021748,570270,6693574,17,-14,3,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,570270,6693574
4300021750,572907,6694036,6,-99,-93,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,572907,6694036
4300021898,573122,6698275,15,-65,-50,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,573122,6698275
4300021900,572942,6699550,6,-25,-19,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,572942,6699550
4300021965,598900,6734245,7,-48,-41,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,598900,6734245
4300024087,576289,6708205,17,-15,2,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,576289,6708205
4300024089,577384,6708703,19,4,23,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,577384,6708703
4300024090,578865,6704999,17,7,24,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,578865,6704999
4300024097,573124,6698268,3,-62,-59,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,573124,6698268
4300024620,573300,6693300,7,-92,-85,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,573300,6693300
4300024918,607608,6743973,11,-1,10,170,1,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,607608,6743973
4300025125,615818,6750300,37,2,39,170,1,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,615818,6750300
4300025402,576692,6707403,12,-36,-24,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,576692,6707403
4300026041,593661,6725836,8,-19,-11,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,593661,6725836
4300028460,613679,6757293,0,-15,-15,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,613679,6757293
4300028502,575596,6707140,10,-2,8,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,575596,6707140
4300028551,572982,6697646,11,-13,-2,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,572982,6697646
4300028552,575764,6707005,8,-52,-44,0,0,1,pelotas_lower,Pelotas_Basin_Lower,5,SIAGAS,575764,6707005
Parana_Basin_outrcrop_1,559708,6695008,0,0,0,230,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,559708,6695008
Parana_Basin_outrcrop_2,561922,6693326,0,0,0,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,561922,6693326
Parana_Basin_outrcrop_3,564917,6693143,0,0,0,180,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,564917,6693143
Parana_Basin_outrcrop_4,567806,6693623,0,0,0,155,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,567806,6693623
Parana_Basin_outrcrop_5,570597,6694723,0,0,0,160,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,570597,6694723
Parana_Basin_outrcrop_6,572376,6696694,0,0,0,102,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,572376,6696694
Parana_Basin_outrcrop_7,573045,6699618,0,0,0,100,1,1,pelotas_lower,Pelotas_Basin_Lower,5,Paraná Basin Outcrop,573045,6699618
